City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
203,Jumla,NP,67.75,overcast clouds,29.2747,82.1838,Royal Garden Hotel
204,Florida,US,74.07,clear sky,28.7505,-82.5001,Sportsmens Cove
205,Nachalovo,RU,67.96,overcast clouds,46.338,48.2013,VILLA`RI
206,Hofn,IS,47.62,overcast clouds,64.2539,-15.2082,Hótel Höfn
208,Vardo,NO,48.18,moderate rain,70.3705,31.1107,Vardø Hotel AS
211,Cidreira,BR,59.88,clear sky,-30.1811,-50.2056,Hotel Castelo
214,Morgan City,US,75.0,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
215,Sechura,PE,64.18,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
216,Sao Sebastiao,BR,62.89,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
217,Catamarca,AR,65.59,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
218,Mocuba,MZ,72.05,clear sky,-16.8392,36.9856,Phama Lodge
222,La Ronge,CA,57.45,broken clouds,55.1001,-105.2842,Northland Motor Hotel
224,Iringa,TZ,59.9,few clouds,-7.7667,35.7,M.R. Hotels ltd.
225,Gravdal,NO,51.12,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
227,La Rioja,ES,53.38,broken clouds,42.25,-2.5,Casa Concejos
228,Riacho De Santana,BR,71.71,clear sky,-13.6092,-42.9389,Casa Nogueira
229,Dillon,US,67.1,clear sky,34.4166,-79.3712,Dillon Express Inn
235,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
236,Grindavik,IS,46.35,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
238,Virginia Beach,US,66.02,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
241,Labrea,BR,74.73,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
242,Ponta Do Sol,PT,74.71,few clouds,32.6667,-17.1,Hotel do Campo
246,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
249,Nador,MA,66.45,clear sky,35.174,-2.9287,Hôtel La Giralda
250,Fairbanks,US,55.4,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
251,Namibe,AO,64.98,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
254,Comodoro Rivadavia,AR,42.66,clear sky,-45.8667,-67.5,Austral Hotel
255,Marstal,DK,55.31,overcast clouds,54.8562,10.5173,Aero Hotel
256,Aklavik,CA,37.13,broken clouds,68.2191,-135.0107,Aklavik Inn
257,Puerto Narino,CO,72.7,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
258,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
260,Sao Joao Da Barra,BR,63.46,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
263,Camana,PE,60.24,clear sky,-16.6228,-72.7111,Hostal Morales
266,Victor Harbor,AU,61.0,few clouds,-35.5667,138.6167,McCracken Country Club
267,Thompson,CA,50.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
268,Lexington Park,US,65.64,clear sky,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
269,Waitati,NZ,52.81,broken clouds,-45.75,170.5667,Arden Country House BnB Dunedin
270,Fortuna,US,54.66,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
271,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
272,Leningradskiy,RU,35.6,light rain,69.3833,178.4167,Gostinitsa
274,Ancud,CL,37.22,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
276,Warrensburg,US,71.56,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
277,Mao,ES,72.16,scattered clouds,39.8885,4.2658,ARTIEM Capri
283,Orbetello,IT,64.42,clear sky,42.4408,11.2196,Argentario Golf & Wellness Resort
285,Vangaindrano,MG,69.26,light rain,-23.35,47.6,Hotel Fanilo
289,Nueva Loja,EC,67.3,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
290,Hammerfest,NO,45.05,light rain,70.6634,23.6821,Skytterhuset
293,Russell,US,70.83,clear sky,32.3502,-85.1999,Macs
295,San Juan,AR,65.5,overcast clouds,-31.5375,-68.5364,Hotel Provincial
296,Morehead,US,67.78,mist,37.2711,-87.1764,CCI Express Inn
297,Tipperary,IE,40.05,clear sky,52.4733,-8.1558,Aisling B&B
300,Elizabeth City,US,62.6,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
302,Tonj,SS,69.78,overcast clouds,7.2737,28.6822,Lakan Hotel
306,Tabira,BR,64.76,clear sky,-7.5908,-37.5394,Hotel jembo
307,Peleduy,RU,43.14,light rain,59.6289,112.7406,Гостиница «Уют»
311,Torbay,CA,56.57,broken clouds,47.6666,-52.7314,Gallows Cove
312,Paamiut,GL,46.78,moderate rain,61.994,-49.6678,Pistut
314,Thunder Bay,CA,57.11,mist,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
315,Ngaoundere,CM,63.99,light rain,7.3167,13.5833,Hotel Mentong Palace
316,Axim,GH,73.81,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
318,Pochutla,MX,73.81,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
324,Geraldton,AU,70.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
326,Nanortalik,GL,47.03,light rain,60.1432,-45.2371,Hotel Kap Farvel
328,Ahipara,NZ,56.12,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
329,Hearst,CA,48.45,overcast clouds,49.6835,-83.6665,Companion
332,Rumoi,JP,70.99,overcast clouds,43.9344,141.6428,Business Hotel R-Inn
334,Prince Rupert,CA,55.09,broken clouds,54.3161,-130.3201,Crest Hotel
335,Piacabucu,BR,70.84,clear sky,-10.4056,-36.4344,Piaçabuçu News
338,Ereymentau,KZ,54.43,broken clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
339,Eirunepe,BR,71.53,broken clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
341,Orsha,BY,46.36,clear sky,54.5153,30.4053,Rudakovo Hotel
342,Rio Gallegos,AR,39.25,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
343,Pangnirtung,CA,40.3,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
346,Spanish Fork,US,64.67,clear sky,40.115,-111.6549,Days Inn by Wyndham Springville
348,Klyuchi,RU,59.18,clear sky,52.2667,79.1667,Vesolaya Mayovka
350,Buin,CL,54.73,overcast clouds,-33.7333,-70.75,Paihuen
351,Ponta Delgada,PT,70.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
353,Plettenberg Bay,ZA,58.35,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
354,Magadan,RU,54.54,clear sky,59.5667,150.8,Magadan hotel
355,Broome,US,59.85,overcast clouds,42.2506,-75.833,Chenango Valley State Park
356,Nueve De Julio,AR,59.97,overcast clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
358,Maryville,US,70.09,smoke,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
359,Havoysund,NO,46.63,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
360,Leh,IN,59.0,few clouds,34.1667,77.5833,Hotel Ladakh Greens
361,Ronne,DK,57.11,broken clouds,55.1009,14.7066,Griffen Spahotel
363,Murrhardt,DE,49.17,broken clouds,48.9819,9.5705,Hotel Restaurant Sonne-Post
364,Vieux-Habitants,GP,74.77,light rain,16.0589,-61.7659,Habitation GETZ
366,Banyo,CM,64.0,light rain,6.75,11.8167,Motel JOMBA
368,Bourbonnais,US,69.53,clear sky,41.1417,-87.875,Fairfield Inn Kankakee Bourbonnais
372,College,US,55.29,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
374,Lac Du Bonnet,CA,51.57,moderate rain,50.2536,-96.0612,Drifter's Inn
376,Cacador,BR,49.03,broken clouds,-26.7753,-51.015,Hotel Weber
379,Outlook,CA,55.24,overcast clouds,51.5001,-107.0513,Red Wheel Motel
380,Havre-Saint-Pierre,CA,48.2,overcast clouds,50.2334,-63.5986,Auberge Niapiskau 2
381,Estevan,CA,52.21,overcast clouds,49.1334,-102.9842,"Motel 6 Estevan, SK"
382,Jinchang,CN,71.51,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
383,Bud,US,67.82,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
384,Lukh,RU,52.83,broken clouds,57.0124,42.2584,Yoga Hostel
385,Englehart,CA,43.36,few clouds,47.8169,-79.8664,Englehart Motel & Restaurant
386,Smoky Lake,CA,50.72,broken clouds,54.1169,-112.4686,Country Garden Hotel
387,Portland,US,64.45,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
392,Mitsamiouli,KM,70.09,few clouds,-11.3847,43.2844,Foyer ADM
395,Muriwai Beach,NZ,58.95,overcast clouds,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
396,Tuatapere,NZ,52.52,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
397,Minas Novas,BR,70.07,broken clouds,-17.2186,-42.5903,J K Palace Hotel
403,Norman Wells,CA,48.24,overcast clouds,65.282,-126.8329,Heritage Hotel
405,Zabolotiv,UA,55.2,overcast clouds,48.4705,25.2857,"Khostel ""Zorepad"""
406,Komatipoort,ZA,71.6,clear sky,-25.4332,31.9548,Kruger View Backpackers
407,Lompoc,US,60.01,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
410,Paris,FR,50.11,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
411,Kangaatsiaq,GL,39.56,overcast clouds,68.3065,-53.4641,Nukissiorfiit
413,Alabino,RU,46.54,clear sky,55.5268,37.0103,Apartment on Iasnaia 5
414,Bamenda,CM,59.88,overcast clouds,5.9527,10.1582,Ayaba
416,Lerwick,GB,48.2,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
418,Mahon,ES,72.16,scattered clouds,39.8885,4.2658,ARTIEM Capri
419,Nabire,ID,73.31,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
420,Poronaysk,RU,61.61,light rain,49.2167,143.1167,Avtovokzal Khostel Stolovaya
421,Alice Springs,AU,74.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
422,Sungaipenuh,ID,74.91,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
