City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Fort-Shevchenko,KZ,44.5086,50.263,72.64,57,51,19.39,broken clouds
120,Bredasdorp,ZA,-34.5322,20.0403,54.25,88,82,2.64,broken clouds
121,Severo-Kurilsk,RU,50.6789,156.125,52.48,73,34,17.0,scattered clouds
122,Logumkloster,DK,55.0594,8.9551,55.33,75,99,19.17,overcast clouds
123,Rocha,UY,-34.4833,-54.3333,52.02,87,47,10.07,scattered clouds
124,Labnig,PH,13.3769,123.6788,86.54,66,99,9.08,overcast clouds
125,Mana,GF,5.6592,-53.7767,77.99,91,69,9.22,broken clouds
126,Port Shepstone,ZA,-30.7414,30.455,68.45,77,80,20.42,broken clouds
127,Mezen,RU,65.8522,44.24,49.69,93,98,8.12,overcast clouds
128,Pevek,RU,69.7008,170.3133,34.95,82,100,18.43,overcast clouds
129,Colombia,CU,20.9881,-77.4297,75.45,96,20,7.16,few clouds
130,Iqaluit,CA,63.7506,-68.5145,38.93,86,100,0.0,overcast clouds
131,Narsaq,GL,60.9167,-46.05,59.22,75,100,12.95,moderate rain
132,Soria,ES,41.6667,-2.6667,49.1,100,2,3.98,clear sky
133,Richards Bay,ZA,-28.783,32.0377,70.0,78,8,10.92,clear sky
134,Bethel,US,41.3712,-73.414,61.86,84,0,0.0,clear sky
135,Lebu,CL,-37.6167,-73.65,44.67,93,100,16.04,overcast clouds
136,Acari,PE,-15.4311,-74.6158,62.49,78,36,2.37,scattered clouds
137,Ixtapa,MX,20.7,-105.2,78.22,91,100,3.0,overcast clouds
138,Sanchor,IN,24.7553,71.7722,82.6,68,100,15.19,overcast clouds
139,Inirida,CO,3.8653,-67.9239,72.9,99,100,0.45,heavy intensity rain
140,Tasiilaq,GL,65.6145,-37.6368,39.36,97,100,11.12,light rain
141,Kalmunai,LK,7.4167,81.8167,86.18,61,19,5.53,few clouds
142,Mount Gambier,AU,-37.8333,140.7667,55.31,76,75,28.77,light intensity shower rain
143,Santa Ana,US,33.7456,-117.8678,73.63,81,0,3.44,clear sky
144,Mahebourg,MU,-20.4081,57.7,74.25,78,75,12.66,broken clouds
145,Pavullo Nel Frignano,IT,44.3315,10.835,61.02,84,66,17.27,broken clouds
146,Rauma,FI,61.1272,21.5113,48.24,93,53,7.47,broken clouds
147,Atambua,ID,-9.1061,124.8925,87.62,42,71,3.22,broken clouds
148,Pacific Grove,US,36.6177,-121.9166,60.69,84,75,11.5,broken clouds
149,Maceio,BR,-9.6658,-35.7353,67.44,100,20,4.61,few clouds
150,Clyde River,CA,70.4692,-68.5914,35.83,100,100,12.66,overcast clouds
151,Buala,SB,-8.145,159.5921,84.67,67,45,3.8,light rain
152,Nome,US,64.5011,-165.4064,50.07,82,100,29.93,light rain
153,Severomuysk,RU,56.1481,113.4267,40.87,46,70,7.9,broken clouds
154,Sakakah,SA,29.9697,40.2064,81.97,21,0,10.65,clear sky
155,Bakaly,RU,55.1789,53.8028,57.76,82,82,12.95,broken clouds
156,Brae,GB,60.3964,-1.353,49.17,71,100,19.13,overcast clouds
157,Omsukchan,RU,62.5333,155.8,33.76,83,100,8.48,light snow
158,Sumbe,AO,-11.2061,13.8437,69.4,91,59,5.06,broken clouds
159,Japura,ID,-0.3167,102.35,89.8,58,95,2.04,overcast clouds
160,Saint-Francois,FR,46.4154,3.9054,44.04,93,0,2.3,clear sky
161,Alappuzha,IN,9.49,76.3264,84.99,75,84,5.95,broken clouds
162,Shingu,JP,33.7333,135.9833,78.91,93,100,16.73,overcast clouds
163,Flin Flon,CA,54.7682,-101.865,49.57,67,56,4.43,broken clouds
164,Manta,EC,-0.95,-80.7333,69.58,88,20,8.05,few clouds
165,Tommot,RU,58.9564,126.2925,54.7,46,45,3.36,scattered clouds
166,Bonavista,CA,48.6499,-53.1147,53.92,88,53,14.85,broken clouds
167,Cayenne,GF,4.9333,-52.3333,75.24,94,75,2.3,broken clouds
168,Cabo San Lucas,MX,22.8909,-109.9124,86.05,75,2,1.99,clear sky
169,Constitucion,CL,-35.3333,-72.4167,53.31,94,100,7.94,overcast clouds
170,Litherland,GB,53.4699,-2.9981,48.76,76,47,0.0,scattered clouds
171,Dukat,RU,62.55,155.55,32.13,78,100,14.18,light snow
172,Nola,IT,40.922,14.5329,73.17,90,36,4.12,scattered clouds
