City_ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Clouds,Wind
143,Zhangjiakou,CN,2022-09-16 03:52:55,40.81,114.8794,78.75,36,16,6.42
144,Ancud,CL,2022-09-16 03:52:56,-41.8697,-73.8203,41.23,91,100,2.98
145,Ribeira Grande,PT,2022-09-16 03:52:56,38.5167,-28.7,73.8,94,40,8.05
146,Amarante Do Maranhao,BR,2022-09-16 03:52:57,-5.5667,-46.7422,74.19,73,70,3.87
147,Hilo,US,2022-09-16 03:52:57,19.7297,-155.09,84.27,80,100,8.05
148,Rio Novo Do Sul,BR,2022-09-16 03:52:58,-20.8625,-40.9364,67.64,94,99,3.91
149,Avarua,CK,2022-09-16 03:52:45,-21.2078,-159.775,77.05,65,20,18.41
150,Nelson Bay,AU,2022-09-16 03:52:59,-32.7167,152.15,75.09,52,0,10.0
151,Aberdeen,GB,2022-09-16 03:53:00,57.1437,-2.0981,47.5,85,20,17.27
152,Mindelo,CV,2022-09-16 03:53:01,16.8901,-24.9804,78.35,83,40,12.66
153,Zeya,RU,2022-09-16 03:53:01,53.75,127.2667,51.39,62,97,4.76
154,Kodino,RU,2022-09-16 03:53:02,63.7198,39.6447,49.19,98,100,5.14
155,Bara,NG,2022-09-16 03:53:03,10.3744,10.7288,73.69,90,100,12.64
156,Saint-Philippe,RE,2022-09-16 03:53:05,-21.3585,55.7679,69.39,85,61,15.26
157,Bambous Virieux,MU,2022-09-16 03:53:06,-20.3428,57.7575,73.22,78,40,11.5
158,Hirara,JP,2022-09-16 03:53:06,24.8,125.2833,82.26,94,75,17.27
159,Vondrozo,MG,2022-09-16 03:53:06,-22.8167,47.2833,61.61,84,54,0.69
160,Katsuura,JP,2022-09-16 03:53:07,35.1333,140.3,79.9,58,65,10.65
161,Verkhnevilyuysk,RU,2022-09-16 03:53:07,63.4453,120.3167,50.29,55,17,10.8
162,Nantucket,US,2022-09-16 03:51:11,41.2835,-70.0995,63.0,52,0,16.35
163,Georgetown,MY,2022-09-16 03:50:08,5.4112,100.3354,85.98,79,20,5.75
164,Mount Gambier,AU,2022-09-16 03:53:10,-37.8333,140.7667,57.11,62,75,17.27
165,Cabrero,CL,2022-09-16 03:53:11,-37.0333,-72.4,49.14,97,100,4.05
166,Verkhnyaya Inta,RU,2022-09-16 03:53:12,65.9811,60.3094,52.34,77,100,9.06
167,Lavrentiya,RU,2022-09-16 03:53:14,65.5833,-171.0,46.17,86,100,11.1
168,Brae,GB,2022-09-16 03:53:14,60.3964,-1.353,49.33,69,98,27.69
169,U Thong,TH,2022-09-16 03:53:16,14.3751,99.8923,87.55,61,85,9.1
170,Vila,PT,2022-09-16 03:53:16,42.0304,-8.1588,53.71,94,1,2.3
171,Luganville,VU,2022-09-16 03:53:17,-15.5333,167.1667,81.16,76,55,9.31
172,Lasa,IT,2022-09-16 03:53:18,46.6166,10.7002,63.48,92,60,4.56
173,Praia Da Vitoria,PT,2022-09-16 03:53:18,38.7333,-27.0667,73.76,94,20,8.03
174,Nemuro,JP,2022-09-16 03:53:19,43.3236,145.575,63.21,69,100,7.78
175,Turinsk,RU,2022-09-16 03:53:19,58.0458,63.696,54.19,50,100,10.71
176,Mitchell,US,2022-09-16 03:51:15,43.7094,-98.0298,66.18,94,75,8.05
177,Port Lincoln,AU,2022-09-16 03:53:20,-34.7333,135.8667,56.34,59,14,27.34
178,Saint George,US,2022-09-16 03:51:01,37.1041,-113.5841,80.64,53,0,5.01
179,Lagos,NG,2022-09-16 03:48:57,6.5833,3.75,74.34,92,96,4.32
180,Honningsvag,NO,2022-09-16 03:53:23,70.9821,25.9704,46.15,87,100,18.41
181,Ahipara,NZ,2022-09-16 03:54:25,-35.1667,173.1667,56.79,69,60,10.09
182,Baruun-Urt,MN,2022-09-16 03:54:26,46.6806,113.2792,79.65,22,16,6.85
183,Jimenez,MX,2022-09-16 03:54:26,28.3333,-105.4,81.59,35,64,6.96
184,Severo-Kurilsk,RU,2022-09-16 03:53:58,50.6789,156.125,52.56,82,29,18.66
185,Samana,DO,2022-09-16 03:54:27,19.2056,-69.3369,80.8,80,61,8.55
186,Havre-Saint-Pierre,CA,2022-09-16 03:54:27,50.2334,-63.5986,52.16,100,100,0.0
187,Kahului,US,2022-09-16 03:54:27,20.8947,-156.47,81.84,81,50,4.0
188,Yerofey Pavlovich,RU,2022-09-16 03:54:28,53.9667,121.9667,52.65,55,85,4.18
189,Usinsk,RU,2022-09-16 03:54:28,65.9939,57.5281,50.63,83,100,8.52
190,Yermakovskoye,RU,2022-09-16 03:54:29,53.2831,92.4003,46.53,80,99,5.37
191,Kawalu,ID,2022-09-16 03:54:29,-7.3817,108.2082,79.02,79,99,6.02
192,Progreso,MX,2022-09-16 03:54:30,21.2833,-89.6667,76.1,89,59,8.57
193,Tyukhtet,RU,2022-09-16 03:54:32,56.5389,89.3011,49.84,58,96,3.69
194,Geraldton,AU,2022-09-16 03:54:33,-28.7667,114.6,66.61,63,100,10.36
195,Zyryanka,RU,2022-09-16 03:54:33,65.75,150.85,44.44,48,100,11.95
196,Sampit,ID,2022-09-16 03:54:34,-2.5333,112.95,88.0,57,97,4.12
197,Longyearbyen,SJ,2022-09-16 03:49:42,78.2186,15.6401,30.04,93,75,9.22
198,Tiksi,RU,2022-09-16 03:54:35,71.6872,128.8694,39.24,62,97,18.39
199,Lorengau,PG,2022-09-16 03:54:36,-2.0226,147.2712,84.58,63,73,11.01
